iter	Passed	Remaining
0	1	142
1	3	150
2	4	140
3	5	138
4	7	137
5	8	134
6	10	135
7	11	130
8	12	127
9	14	126
10	15	123
11	16	121
12	17	118
13	19	116
14	20	118
15	22	118
16	24	120
17	26	121
18	28	121
19	30	121
20	32	121
21	33	120
22	35	119
23	37	119
24	39	118
25	41	117
26	43	116
27	44	115
28	46	114
29	48	113
30	50	113
31	52	112
32	54	111
33	56	109
34	58	108
35	59	106
36	61	105
37	63	103
38	65	102
39	67	100
40	68	99
41	69	95
42	71	94
43	72	92
44	74	91
45	76	89
46	78	88
47	80	87
48	82	85
49	83	83
50	85	82
51	87	80
52	89	79
53	90	77
54	91	75
55	93	73
56	95	72
57	97	70
58	99	68
59	101	67
60	102	65
61	104	63
62	105	61
63	107	60
64	108	58
65	110	56
66	111	55
67	113	53
68	114	51
69	116	49
70	117	48
71	119	46
72	120	44
73	121	42
74	123	41
75	124	39
76	125	37
77	126	35
78	128	34
79	129	32
80	131	30
81	132	29
82	133	27
83	135	25
84	136	24
85	137	22
86	138	20
87	139	18
88	139	17
89	140	15
90	141	13
91	142	12
92	142	10
93	143	9
94	144	7
95	146	6
96	147	4
97	148	3
98	150	1
99	151	0
