iter	Passed	Remaining
0	114	114220
1	115	57703
2	116	38814
3	117	29269
4	118	23552
5	119	19753
6	120	17038
7	121	15057
8	122	13466
9	123	12186
10	123	11130
11	124	10250
12	125	9503
13	126	8875
14	126	8329
15	128	7880
16	129	7485
17	130	7126
18	131	6782
19	132	6473
20	133	6203
21	133	5947
22	134	5706
23	134	5487
24	135	5292
25	136	5110
26	137	4940
27	137	4781
28	138	4634
29	139	4500
30	139	4370
31	140	4257
32	141	4149
33	142	4048
34	143	3954
35	144	3869
36	145	3781
37	146	3702
38	147	3626
39	147	3547
40	148	3472
41	149	3403
42	150	3346
43	151	3283
44	151	3225
45	152	3167
46	153	3109
47	154	3059
48	155	3011
49	156	2977
50	157	2928
51	158	2881
52	158	2837
53	159	2794
54	160	2750
55	160	2710
56	161	2670
57	162	2631
58	162	2594
59	163	2558
60	163	2523
61	164	2489
62	165	2456
63	165	2424
64	166	2394
65	167	2363
66	167	2332
67	168	2305
68	168	2279
69	169	2254
70	170	2234
71	171	2212
72	172	2188
73	173	2166
74	173	2143
75	174	2120
76	175	2098
77	175	2075
78	176	2054
79	176	2034
80	177	2015
81	178	1996
82	178	1974
83	179	1955
84	179	1936
85	180	1919
86	181	1901
87	181	1883
88	182	1867
89	182	1850
90	183	1834
91	184	1821
92	185	1808
93	186	1795
94	187	1781
95	187	1767
96	188	1754
97	189	1739
98	189	1726
99	190	1713
100	190	1699
101	191	1686
102	192	1673
103	192	1660
104	193	1648
105	193	1636
106	194	1624
107	195	1612
108	195	1601
109	196	1590
110	197	1579
111	197	1568
112	198	1558
113	199	1547
114	199	1539
115	200	1529
116	201	1519
117	202	1510
118	202	1501
119	203	1492
120	204	1483
121	204	1473
122	205	1464
123	205	1455
124	206	1446
125	207	1437
126	207	1428
127	208	1420
128	209	1411
129	209	1404
130	210	1396
131	211	1388
132	211	1380
133	212	1371
134	212	1364
135	213	1356
136	214	1349
137	214	1342
138	215	1334
139	216	1328
140	217	1322
141	217	1314
142	218	1307
143	218	1300
144	219	1293
145	219	1286
146	220	1279
147	221	1272
148	221	1266
149	222	1260
150	223	1254
151	223	1247
152	224	1241
153	224	1234
154	225	1228
155	225	1222
156	226	1216
157	227	1210
158	227	1204
159	228	1198
160	228	1192
161	229	1187
162	230	1183
163	231	1178
164	231	1173
165	232	1169
166	233	1164
167	233	1158
168	234	1153
169	235	1148
170	236	1144
171	236	1139
172	237	1134
173	237	1129
174	238	1124
175	239	1119
176	239	1114
177	240	1109
178	240	1104
179	241	1099
180	242	1095
181	242	1090
182	243	1086
183	244	1082
184	244	1078
185	245	1074
186	246	1070
187	247	1067
188	247	1062
189	248	1059
190	249	1055
191	249	1051
192	250	1047
193	251	1043
194	251	1039
195	252	1035
196	252	1030
197	253	1027
198	254	1024
199	255	1020
200	255	1016
201	256	1012
202	257	1009
203	257	1005
204	258	1001
205	258	997
206	259	994
207	260	990
208	261	988
209	262	986
210	263	983
211	263	980
212	264	977
213	265	973
214	265	970
215	266	966
216	266	962
217	267	959
218	268	956
219	268	953
220	269	949
221	270	946
222	270	943
223	271	940
224	272	937
225	272	934
226	273	931
227	274	928
228	275	925
229	275	923
230	276	920
231	277	918
232	278	915
233	278	912
234	279	909
235	280	906
236	280	904
237	281	901
238	282	898
239	282	895
240	283	892
